MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow
19.8,32.7,0.0,4.8,8.5,44.0,20.0,28.0,34.0,28.0,1008.4,1009.2,5.0,5.0,27.6,27.1,Albury,WNW,W,W,No,No
14.9,26.7,0.0,4.8,8.5,56.0,20.0,31.0,46.0,20.0,1014.1,1012.7,5.0,5.0,18.0,25.5,Albury,SW,WSW,SW,No,No
10.5,28.4,0.0,4.8,8.5,33.0,19.0,11.0,35.0,16.0,1019.7,1017.4,5.0,5.0,16.0,25.8,Albury,SE,SE,SW,No,No
11.3,32.2,0.0,4.8,8.5,28.0,17.0,15.0,34.0,17.0,1019.7,1016.2,5.0,5.0,20.9,30.5,Albury,WNW,ENE,SSW,No,No
13.9,36.6,0.0,4.8,8.5,39.0,2.0,15.0,39.0,10.0,1015.8,1010.6,5.0,5.0,22.0,34.4,Albury,WNW,SSE,NNE,No,No
18.6,39.9,0.0,4.8,8.5,61.0,9.0,20.0,36.0,21.0,1010.1,1004.8,5.0,5.0,26.8,37.7,Albury,NNW,SSE,WNW,No,No
19.3,38.1,0.8,4.8,8.5,61.0,15.0,17.0,48.0,17.0,1009.6,1005.9,5.0,5.0,27.3,36.1,Albury,NNW,NE,WSW,No,No
24.4,34.0,0.6,4.8,8.5,39.0,26.0,48.0,60.0,39.0,1005.3,997.8,4.0,1.0,26.1,33.1,Albury,NW,N,NNW,No,Yes
18.8,35.2,6.4,4.8,8.5,52.0,6.0,28.0,43.0,28.0,1007.9,1003.9,5.0,5.0,22.8,33.0,Albury,WNW,S,NW,Yes,No
20.8,30.6,0.0,4.8,8.5,54.0,30.0,28.0,41.0,21.0,1005.4,1007.6,5.0,5.0,23.3,29.7,Albury,W,W,W,No,No
14.0,34.3,0.0,4.8,8.5,24.0,7.0,13.0,44.0,10.0,1016.5,1014.6,5.0,5.0,21.2,32.1,Albury,WSW,ESE,SSE,No,No
15.7,38.4,0.0,4.8,8.5,33.0,7.0,7.0,48.0,12.0,1017.7,1014.6,5.0,5.0,23.4,36.5,Albury,S,SSE,WSW,No,No
18.5,38.2,0.0,4.8,8.5,31.0,9.0,17.0,48.0,25.0,1017.8,1014.1,5.0,5.0,25.8,36.2,Albury,NNE,SE,NNW,No,No
20.4,40.7,0.0,4.8,8.5,37.0,7.0,13.0,45.0,15.0,1014.9,1011.6,5.0,5.0,28.2,39.2,Albury,N,E,NNE,No,No
21.8,41.5,0.0,4.8,8.5,24.0,6.0,11.0,38.0,13.0,1015.7,1011.8,5.0,5.0,29.0,40.1,Albury,SW,ESE,S,No,No
22.3,42.9,0.0,4.8,8.5,28.0,9.0,11.0,37.0,11.0,1014.6,1010.2,5.0,5.0,29.2,41.2,Albury,NNE,ESE,SE,No,No
22.0,42.7,0.0,4.8,8.5,48.0,4.0,4.0,33.0,11.0,1014.2,1010.5,5.0,5.0,29.9,42.0,Albury,ESE,ESE,SW,No,No
28.0,43.1,0.0,4.8,8.5,39.0,15.0,9.0,27.0,9.0,1012.5,1008.7,5.0,5.0,32.4,41.9,Albury,SW,SE,E,No,No
24.4,38.3,0.2,4.8,8.5,56.0,19.0,7.0,32.0,21.0,1011.7,1007.4,5.0,5.0,28.8,37.1,Albury,SW,NE,NW,No,No
21.5,37.7,0.0,4.8,8.5,39.0,13.0,9.0,51.0,21.0,1009.2,1005.7,5.0,5.0,27.2,36.2,Albury,W,N,SE,No,No
21.7,36.9,0.0,4.8,8.5,39.0,11.0,11.0,53.0,26.0,1008.8,1004.7,5.0,5.0,25.5,35.2,Albury,W,N,SE,No,No
21.5,41.2,0.0,4.8,8.5,35.0,7.0,19.0,48.0,15.0,1005.9,1002.6,5.0,5.0,26.5,39.7,Albury,WSW,SSE,S,No,No
23.5,42.2,0.0,4.8,8.5,37.0,6.0,15.0,39.0,8.0,1008.0,1005.0,5.0,5.0,28.7,41.6,Albury,W,SE,W,No,No
22.3,44.8,0.0,4.8,8.5,59.0,9.0,33.0,36.0,11.0,1008.2,1003.8,5.0,5.0,29.6,43.4,Albury,NNW,SE,NW,No,No
28.3,40.2,0.0,4.8,8.5,52.0,9.0,22.0,20.0,19.0,1007.0,1006.5,5.0,5.0,34.5,38.5,Albury,NW,N,W,No,No
18.4,31.2,0.4,4.8,8.5,37.0,7.0,11.0,66.0,31.0,1009.3,1007.8,7.0,8.0,18.7,29.4,Albury,SE,SW,WSW,No,No
14.9,27.3,0.0,4.8,8.5,41.0,20.0,13.0,50.0,30.0,1011.6,1008.5,5.0,1.0,17.4,25.8,Albury,SSE,SSE,SE,No,No
13.5,26.7,0.0,4.8,8.5,46.0,19.0,11.0,45.0,24.0,1012.8,1011.1,5.0,5.0,16.7,24.9,Albury,SSE,SSE,E,No,No
16.1,21.6,0.0,4.8,8.5,46.0,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,Albury,SE,SSE,NE,No,Yes
14.6,29.0,3.0,4.8,8.5,41.0,26.0,24.0,41.0,21.0,1023.3,1019.7,5.0,5.0,18.0,27.6,Albury,SSE,SE,SSE,Yes,No
12.4,29.2,0.0,4.8,8.5,39.0,7.0,0.0,37.0,18.0,1022.5,1016.4,5.0,5.0,18.3,28.5,Albury,NE,S,SE,No,No
13.3,31.3,0.0,4.8,8.5,41.0,7.0,15.0,50.0,23.0,1016.2,1012.8,5.0,5.0,19.2,29.2,Albury,NNE,SSE,SSW,No,No
17.2,31.1,0.0,4.8,8.5,35.0,17.0,11.0,43.0,22.0,1017.7,1013.8,5.0,5.0,21.4,29.5,Albury,E,SE,ESE,No,No
12.5,28.8,0.0,4.8,8.5,31.0,7.0,11.0,46.0,17.0,1017.2,1013.5,5.0,5.0,18.0,27.0,Albury,N,SSE,ENE,No,No
18.0,32.0,0.0,4.8,8.5,31.0,4.0,13.0,44.0,22.0,1012.4,1007.5,5.0,5.0,22.1,30.7,Albury,NW,ENE,SW,No,No
16.2,34.0,0.0,4.8,8.5,48.0,4.0,22.0,53.0,16.0,1007.8,1004.5,5.0,5.0,21.0,32.7,Albury,WSW,SE,WSW,No,No
18.7,29.1,0.0,4.8,8.5,41.0,7.0,17.0,45.0,39.0,1010.1,1010.8,5.0,5.0,21.5,26.8,Albury,SSW,NNW,SSE,No,No
13.7,31.7,0.0,4.8,8.5,28.0,2.0,9.0,63.0,19.0,1012.5,1010.4,5.0,5.0,19.3,29.8,Albury,SSE,SSE,S,No,No
15.5,33.2,0.0,4.8,8.5,31.0,11.0,15.0,49.0,23.0,1015.6,1012.4,5.0,5.0,20.9,31.3,Albury,NW,S,WNW,No,No
14.3,34.0,0.0,4.8,8.5,70.0,6.0,22.0,48.0,10.0,1013.0,1009.2,5.0,5.0,20.7,33.4,Albury,NW,SE,NW,No,No
12.9,29.6,0.0,4.8,8.5,46.0,7.0,24.0,54.0,14.0,1014.0,1012.7,6.0,7.0,18.7,28.6,Albury,WNW,SW,WNW,No,No
8.9,31.9,0.0,4.8,8.5,43.0,0.0,17.0,49.0,16.0,1016.6,1013.4,7.0,7.0,15.0,29.3,Albury,WNW,N,WSW,No,No
15.0,32.7,0.0,4.8,8.5,26.0,15.0,2.0,43.0,19.0,1017.8,1015.0,5.0,5.0,20.7,30.5,Albury,ESE,ESE,S,No,No
15.4,32.6,0.0,4.8,8.5,24.0,0.0,6.0,53.0,25.0,1016.2,1012.6,5.0,5.0,20.0,30.8,Albury,W,N,S,No,No
16.0,34.5,0.0,4.8,8.5,44.0,6.0,19.0,44.0,14.0,1007.5,1004.6,5.0,5.0,22.2,33.6,Albury,WSW,E,SE,No,No
12.8,30.3,0.0,4.8,8.5,30.0,4.0,13.0,53.0,27.0,1010.5,1008.7,5.0,5.0,17.3,28.1,Albury,W,W,WSW,No,No
13.2,31.9,0.0,4.8,8.5,35.0,6.0,9.0,53.0,25.0,1014.1,1011.6,5.0,5.0,18.0,29.8,Albury,NNW,S,ENE,No,No
18.0,31.1,0.0,4.8,8.5,52.0,15.0,26.0,58.0,35.0,1014.7,1009.0,5.0,5.0,23.0,29.2,Albury,WNW,NE,NNE,No,No
13.8,22.1,0.2,4.8,8.5,57.0,26.0,33.0,57.0,26.0,1014.5,1013.1,5.0,5.0,15.6,21.9,Albury,WNW,W,WNW,No,No
11.5,22.0,0.0,4.8,8.5,50.0,19.0,33.0,60.0,33.0,1013.7,1011.8,5.0,5.0,13.9,21.4,Albury,SW,WSW,W,No,No
7.6,24.0,0.0,4.8,8.5,30.0,0.0,13.0,52.0,23.0,1014.5,1012.0,5.0,5.0,12.6,22.0,Albury,WSW,N,WNW,No,No
8.3,27.9,0.0,4.8,8.5,37.0,4.0,20.0,58.0,22.0,1015.2,1012.4,5.0,5.0,13.3,27.0,Albury,W,S,W,No,No
11.0,30.2,0.0,4.8,8.5,24.0,7.0,11.0,54.0,20.0,1017.0,1014.7,5.0,5.0,17.6,28.8,Albury,SSE,E,SSE,No,No
13.8,31.8,0.0,4.8,8.5,24.0,6.0,17.0,49.0,28.0,1019.7,1015.9,5.0,5.0,18.6,30.5,Albury,NNE,SSE,NE,No,No
15.5,32.0,0.0,4.8,8.5,50.0,2.0,4.0,51.0,25.0,1019.5,1016.2,5.0,5.0,20.1,30.8,Albury,NE,ESE,E,No,Yes
18.4,30.5,1.2,4.8,8.5,44.0,15.0,19.0,57.0,23.0,1021.3,1018.0,5.0,5.0,21.5,29.6,Albury,NE,NE,N,Yes,No
20.9,25.7,0.0,4.8,8.5,37.0,11.0,9.0,52.0,90.0,1019.5,1018.9,5.0,8.0,22.2,18.8,Albury,W,ENE,S,No,Yes
17.1,25.8,5.8,4.8,8.5,31.0,0.0,13.0,82.0,68.0,1017.4,1014.7,8.0,5.0,19.0,23.8,Albury,ENE,N,S,Yes,Yes
16.4,27.0,3.0,4.8,8.5,69.0,9.0,22.0,82.0,74.0,1012.7,1008.0,5.0,4.0,19.9,19.7,Albury,SW,E,N,Yes,Yes
10.0,19.7,11.6,4.8,8.5,39.0,11.0,17.0,62.0,41.0,1013.4,1012.0,5.0,8.0,12.7,18.3,Albury,WNW,W,NW,Yes,No
8.8,21.9,0.0,4.8,8.5,39.0,2.0,20.0,78.0,34.0,1013.3,1011.6,5.0,6.0,12.2,20.5,Albury,W,S,WNW,No,No
8.4,25.3,0.0,4.8,8.5,35.0,9.0,17.0,78.0,34.0,1015.6,1013.2,5.0,5.0,12.1,23.9,Albury,WNW,SSE,WSW,No,No
9.3,28.0,0.0,4.8,8.5,52.0,6.0,11.0,76.0,19.0,1017.4,1013.9,5.0,5.0,14.7,27.2,Albury,NW,SSE,NW,No,No
11.3,30.1,0.0,4.8,8.5,24.0,6.0,7.0,56.0,15.0,1016.3,1013.6,5.0,5.0,14.7,29.3,Albury,WSW,S,SW,No,No
11.5,33.5,0.0,4.8,8.5,22.0,7.0,7.0,50.0,13.0,1016.5,1013.6,5.0,5.0,17.4,32.6,Albury,SSE,NE,N,No,No
13.8,33.6,0.0,4.8,8.5,28.0,0.0,11.0,47.0,17.0,1017.0,1013.1,5.0,2.0,18.8,33.5,Albury,NNW,N,NNE,No,No
14.6,30.0,0.0,4.8,8.5,37.0,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,Albury,NE,E,NNE,No,No
14.4,31.6,0.0,4.8,8.5,37.0,0.0,24.0,63.0,25.0,1013.7,1011.8,5.0,5.0,18.8,31.4,Albury,NW,N,WNW,No,No
10.8,31.9,0.0,4.8,8.5,48.0,6.0,20.0,62.0,20.0,1016.5,1014.4,5.0,5.0,15.4,30.7,Albury,S,SSE,WNW,No,No
15.4,22.3,0.4,4.8,8.5,30.0,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,Albury,ENE,SSE,SSE,No,Yes
13.3,29.8,1.8,4.8,8.5,33.0,0.0,20.0,87.0,26.0,1019.1,1017.2,5.0,6.0,16.2,29.2,Albury,WSW,N,WNW,Yes,No
10.1,27.6,0.0,4.8,8.5,43.0,0.0,11.0,63.0,30.0,1023.0,1020.7,5.0,5.0,16.5,26.8,Albury,WNW,N,W,No,No
9.1,28.9,0.0,4.8,8.5,24.0,2.0,17.0,60.0,26.0,1023.8,1020.6,5.0,5.0,14.0,27.7,Albury,NNW,N,N,No,No
10.4,31.2,0.0,4.8,8.5,22.0,0.0,6.0,60.0,18.0,1022.4,1019.1,5.0,5.0,16.0,29.9,Albury,S,N,SE,No,No
13.4,30.4,0.0,4.8,8.5,22.0,0.0,9.0,57.0,16.0,1023.0,1019.5,5.0,5.0,17.2,29.2,Albury,ENE,N,SE,No,No
12.3,29.9,0.0,4.8,8.5,26.0,2.0,13.0,61.0,25.0,1023.2,1019.5,5.0,5.0,17.1,28.6,Albury,WSW,S,SSW,No,No
12.2,30.6,0.0,4.8,8.5,22.0,0.0,6.0,59.0,22.0,1022.6,1019.4,5.0,5.0,16.6,29.5,Albury,SE,N,ENE,No,No
14.3,32.1,0.0,4.8,8.5,28.0,0.0,11.0,59.0,30.0,1022.6,1018.4,5.0,5.0,18.4,30.9,Albury,NE,N,ENE,No,Yes
18.4,28.1,8.6,4.8,8.5,39.0,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Albury,W,E,NNE,Yes,Yes
10.7,21.4,12.6,4.8,8.5,43.0,0.0,13.0,60.0,33.0,1019.8,1019.3,5.0,5.0,13.9,20.3,Albury,W,N,WSW,Yes,No
7.8,21.7,0.0,4.8,8.5,31.0,6.0,19.0,72.0,37.0,1020.4,1016.5,5.0,5.0,12.9,21.2,Albury,WSW,E,NW,No,No
8.1,21.4,0.0,4.8,8.5,35.0,13.0,19.0,58.0,20.0,1021.8,1019.6,5.0,5.0,13.8,20.9,Albury,W,SSE,WSW,No,No
7.5,22.5,0.0,4.8,8.5,28.0,7.0,7.0,55.0,27.0,1026.7,1023.5,5.0,5.0,13.3,21.6,Albury,SE,S,S,No,No
8.2,24.0,0.0,4.8,8.5,17.0,7.0,13.0,60.0,30.0,1027.1,1023.4,5.0,5.0,13.8,23.5,Albury,SSE,SSE,SSE,No,No
8.1,25.7,0.0,4.8,8.5,22.0,9.0,13.0,67.0,27.0,1024.2,1019.6,5.0,5.0,15.1,25.0,Albury,ENE,ESE,S,No,No
11.6,26.7,0.0,4.8,8.5,48.0,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,Albury,W,SE,NE,No,Yes
13.0,24.9,8.4,4.8,8.5,46.0,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Albury,W,S,E,Yes,Yes
13.5,24.2,6.2,4.8,8.5,20.0,0.0,6.0,88.0,52.0,1024.1,1020.8,8.0,5.0,15.4,23.1,Albury,WSW,N,SE,Yes,No
9.9,25.4,0.0,4.8,8.5,19.0,4.0,7.0,65.0,35.0,1023.0,1018.7,5.0,5.0,16.1,25.0,Albury,NNE,ENE,SSW,No,No
12.2,25.0,0.0,4.8,8.5,30.0,0.0,15.0,68.0,39.0,1016.3,1011.6,6.0,5.0,16.2,24.6,Albury,WNW,N,W,No,No
10.7,21.9,0.0,4.8,8.5,63.0,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,5.0,20.5,18.9,Albury,W,NW,W,No,No
3.5,20.0,0.0,4.8,8.5,31.0,0.0,13.0,65.0,30.0,1016.3,1012.8,5.0,5.0,9.6,19.4,Albury,W,N,WNW,No,No
6.6,21.6,0.0,4.8,8.5,26.0,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,Albury,WNW,ENE,W,No,No
7.0,23.4,0.0,4.8,8.5,24.0,2.0,17.0,73.0,37.0,1022.8,1019.3,5.0,5.0,12.4,22.9,Albury,W,SSE,W,No,No
11.2,23.9,0.0,4.8,8.5,31.0,13.0,15.0,54.0,33.0,1022.7,1019.6,5.0,5.0,18.0,23.6,Albury,SE,SE,SE,No,No
7.4,22.0,0.0,4.8,8.5,28.0,2.0,7.0,58.0,29.0,1023.6,1020.0,5.0,5.0,14.1,21.3,Albury,SSE,SE,SE,No,No
5.7,21.4,0.0,4.8,8.5,17.0,6.0,7.0,68.0,39.0,1025.2,1020.9,5.0,5.0,12.2,20.9,Albury,ESE,ENE,SSE,No,No
6.2,22.7,0.0,4.8,8.5,17.0,0.0,7.0,73.0,33.0,1026.0,1021.6,5.0,5.0,11.2,22.3,Albury,ESE,N,SW,No,No
6.0,22.9,0.0,4.8,8.5,33.0,0.0,20.0,68.0,34.0,1021.3,1015.7,5.0,5.0,12.9,22.6,Albury,NE,N,NE,No,No
10.6,16.2,0.0,4.8,8.5,39.0,7.0,4.0,74.0,86.0,1008.9,1002.4,8.0,8.0,14.9,15.1,Albury,WNW,ESE,NNE,No,Yes
12.9,15.8,20.0,4.8,8.5,70.0,19.0,15.0,83.0,89.0,1004.8,1000.9,8.0,8.0,13.3,14.5,Albury,W,WNW,NNW,Yes,Yes
8.6,12.9,21.0,4.8,8.5,63.0,26.0,31.0,77.0,62.0,1004.0,1003.3,8.0,8.0,9.5,11.6,Albury,NNW,NW,WNW,Yes,Yes
4.5,11.5,3.2,4.8,8.5,26.0,9.0,13.0,82.0,79.0,1013.8,1013.5,8.0,8.0,7.6,9.4,Albury,NW,N,NNW,Yes,Yes
7.6,14.5,4.8,4.8,8.5,35.0,15.0,20.0,83.0,48.0,1018.0,1018.3,8.0,1.0,10.1,14.0,Albury,WNW,W,W,Yes,No
5.4,12.2,0.0,4.8,8.5,19.0,9.0,7.0,62.0,46.0,1023.1,1020.9,5.0,8.0,8.2,12.1,Albury,SSE,SE,SSE,No,No
2.1,16.5,0.0,4.8,8.5,19.0,0.0,7.0,70.0,38.0,1023.4,1021.5,5.0,5.0,7.9,16.1,Albury,SW,N,SW,No,No
1.8,17.0,0.0,4.8,8.5,19.0,0.0,7.0,77.0,44.0,1026.0,1023.2,5.0,5.0,7.2,16.3,Albury,SW,N,WSW,No,No
7.2,19.2,0.0,4.8,8.5,22.0,7.0,6.0,81.0,49.0,1026.9,1024.0,8.0,4.0,10.1,19.1,Albury,SW,ENE,W,No,No
4.6,18.9,0.0,4.8,8.5,15.0,4.0,7.0,75.0,51.0,1028.7,1025.9,5.0,5.0,10.6,18.5,Albury,S,N,SSE,No,No
4.2,19.1,0.0,4.8,8.5,19.0,6.0,13.0,86.0,44.0,1029.8,1027.3,5.0,5.0,9.6,18.8,Albury,W,ENE,WSW,No,No
5.2,18.8,0.0,4.8,8.5,15.0,0.0,7.0,71.0,47.0,1031.4,1028.1,5.0,5.0,10.3,18.4,Albury,ESE,N,SE,No,No
4.1,19.3,0.0,4.8,8.5,20.0,6.0,7.0,82.0,49.0,1028.5,1024.6,5.0,5.0,10.0,19.2,Albury,SW,ENE,WNW,No,No
3.2,18.4,0.0,4.8,8.5,20.0,6.0,11.0,86.0,49.0,1026.2,1023.6,5.0,5.0,8.3,18.2,Albury,SW,SE,WNW,No,No
4.3,19.0,0.0,4.8,8.5,15.0,0.0,9.0,68.0,36.0,1028.8,1025.8,5.0,5.0,11.0,18.5,Albury,W,N,W,No,No
3.7,20.5,0.0,4.8,8.5,17.0,0.0,7.0,78.0,45.0,1026.0,1021.8,5.0,5.0,9.4,20.2,Albury,W,N,WSW,No,No
5.4,19.5,0.0,4.8,8.5,17.0,0.0,7.0,69.0,40.0,1025.1,1022.3,5.0,5.0,11.7,19.1,Albury,SE,N,SE,No,No
4.3,17.7,0.0,4.8,8.5,15.0,6.0,7.0,89.0,53.0,1025.6,1022.2,8.0,5.0,8.5,17.7,Albury,ESE,NNW,S,No,No
3.6,18.5,0.0,4.8,8.5,26.0,4.0,17.0,81.0,49.0,1022.3,1018.5,5.0,5.0,9.1,18.0,Albury,W,ENE,WNW,No,No
3.6,15.1,0.0,4.8,8.5,28.0,4.0,17.0,86.0,61.0,1018.4,1015.7,5.0,8.0,7.5,14.6,Albury,WNW,SE,W,No,No
